mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	D09	D06	W117	B73
PZE-101000083	1	1	0	0.0715146057713257	1	0.80676289197431	-0.383279509073515	-0.421513913446546	0.88631123303704	0.470634571976876
PZE-101000161	1	2	0.1	0.117461431134828	1	1	1	1	0.886311233037197	0.470633374688396
PZE-101000344	1	3	0.7	0.231378856999886	1	1	-0.238493863830626	-0.238493863830626	0.886311233037197	0.470634691551376
PZE-101000424	1	4	0.8	0.231362862063374	1	1	-0.238511100053197	-0.238511100053197	0.88631123303704	0.470634853119619
PZE-101000370	1	5	1	0.231362740461337	1	1	-0.23851110349166	-0.23851110349166	0.886311233037197	0.470635176274352
PZE-101000754	1	6	1.4	0.23136249724379	1	1	-0.238511110368941	-0.238511110368941	0.88631123303704	0.470635822620924
PZE-101000169	1	7	1.5	0.23136248384269	1	1	-0.238511060813854	-0.238511060813854	0.886311233037197	0.470635984207844
PZE-101000256	1	8	1.7	0.231362457044884	1	1	-0.238510961702748	-0.238510961702748	0.886311233036883	0.470636307372505
PZE-101001103	1	9	1.8	0.231362443648197	1	1	-0.238510912147671	-0.238510912147671	0.88631123303704	0.470636468947724
PZE-101000659	1	10	1.9	0.231362201210853	1	1	-0.23851111033982	-0.23851111033982	0.886311233037197	0.470636630516709
PZE-101001110	1	11	2.2	0.229591855277174	1	1	-0.238511110398908	-0.238511110398908	0.886311233037197	0.475511322631955
PZE-101000431	1	12	2.3	0.231362555842554	1	1	-0.238511110348829	-0.238511110348829	0.886311233036883	0.470635662766149
PZE-101000442	1	13	2.4	0.231362733394553	1	1	-0.238511110299019	-0.238511110299019	0.88631123303704	0.470635178384743
PZE-101000530	1	14	2.5	0.104966457643	1	1	-0.496249888727735	-0.496249888727735	0.88631123303704	-0.496249888727735
PZE-101001114	1	15	2.6	0.104969650118985	1	1	-0.496243049846985	-0.496243049846985	0.886311233037354	-0.496243049846985
PZE-101001280	1	16	2.7	0.10497157239036	1	1	-0.496238932058797	-0.496238932058797	0.886311233037197	-0.496238932058797
PZE-101000673	1	17	3	0.111154254561695	1	1	-0.483284372934049	-0.483284372934049	0.886311233037354	-0.483284372934049
PZE-101001107	1	18	3.1	0.12441016660807	1	1	-0.457302627427188	-0.457302627427188	0.88631123303704	-0.457302627427188
PZE-101002282	1	19	3.4	0.165376882447461	1	1	-0.389293601107857	-0.389293601107857	0.886311233037354	-0.389293601107857
PZE-101002081	1	20	3.6	0.167740168895904	1	1	-0.385834076328062	-0.385834076328062	0.88631123303704	-0.385834076328062
PZE-101001380	1	21	4.3	0.0608986888160177	1	1	1	1	0.869163161954428	1
PZE-101003133	1	22	4.5	0.0633857650494836	1	1	1	1	0.864199946223722	1
PZE-101003135	1	23	4.7	0.0470607893105249	1	1	1	1	0.859224507368869	0.666886353130141
PZE-101003026	1	24	4.9	0.0475578269251713	1	1	1	1	0.854246581317609	0.666886958257445
PZE-101003031	1	25	5.6	0.159278301774579	1	1	1	1	1	0.692981591731152
PZA00393.1	1	26	5.7	0.156447146948054	1	1	1	1	1	0.697513878213665
PZE-101003115	1	27	5.9	0.150482838432743	1	1	1	1	1	0.707159144207966
PZE-101002367	1	28	6	0.147360254573329	1	1	1	1	1	0.712261951743426
PZE-101005818	1	29	7.3	0.101659764951479	1	1	1	1	1	0.791298304271584
PZE-101006745	1	30	9.2	0.103973687181332	1	1	1	1	1	0.787093476279637
PZA01022.1	1	31	9.6	0.103904252550449	1	1	1	1	1	0.787219326172572
PZE-101009312	1	32	10.6	0.102766063734789	1	1	1	1	1	0.789285158021093
PZE-101007769	1	33	10.9	0.102153145424581	1	1	1	1	1	0.790399859855283
PZE-101009215	1	34	11.2	0.101417713609285	1	1	1	1	1	0.791739452409306
PZE-101010821	1	35	11.8	0.0995951868592274	1	1	1	1	1	0.795068986519771
PZE-101009528	1	36	12.3	0.00414723063388198	1	-0.67942689283937	-0.675733691760269	-0.763287934321137	0.84036513910683	0.798463429331973
PZE-101009163	1	37	12.5	0.00373687187973043	1	-0.692205051614179	-0.675782070494447	-0.763295528995208	0.858206101832908	0.799966256042152
PZE-101010560	1	38	13	0.0990671001544776	1	-0.796036350262224	-0.796036350262224	-0.796036350262224	1	-0.796036350262224
PZE-101010917	1	39	13.5	0.117502298658899	1	-0.762952852949952	-0.762952852949952	-0.762952852949952	1	-0.762952852949952
PZE-101012517	1	40	13.6	0.0458214160603131	1	-0.28929975621843	-0.527599247592552	0.865258236933238	0.959378079237511	0.809491551261741
PZE-101014135	1	41	13.7	0.566261142750272	1	-0.271480635564752	-0.271480635564752	1	1	1
PZE-101014266	1	42	13.8	0.559078053902164	1	-0.276008175387288	-0.276008175387288	1	1	1
PZE-101011048	1	43	14	0.128605177960251	1	-0.285333387329418	-0.285333387329418	0.865255736491084	0.793420588096027	0.793420588096027
PZE-101013802	1	44	15.2	0.0163570816418989	1	1	-0.941638114433114	0.791384432101805	-0.941638114433114	-0.941638114433114
PZE-101014003	1	45	15.3	0.0391339864717937	1	-0.74456995770223	-0.74456995770223	0.785503184475615	-0.74456995770223	-0.74456995770223
PZE-101011906	1	46	15.7	0.029923322198738	1	1	1	0.76274630041218	1	0.828957723934119
PZE-101015469	1	47	16.2	0.0126146383621999	1	-0.849385611452128	-0.849385611452128	-0.849385611452128	-0.849385611452128	0.882008290735022
PZE-101013772	1	48	16.4	0.138691554688774	1	1	1	0.726621836724937	1	1
PZE-101013713	1	49	16.9	0.0162060360068323	1	-0.469629382099755	-0.60621047306988	0.704246478091381	0.815606195393987	0.95703101683984
PZE-101015471	1	50	17.3	0.012614826768754	1	-0.454925252093387	-0.691153805915911	0.734211659645394	0.818820839294492	0.995395278752668
